cleaned_content,sentiment
harga moga bs lbh murah jd bs saing sikuning,2
mantap,2
guna,2
mantap,2
okedah pokoke,2
aman aplikasi dana,2
gojek ngebantu bgt ak yg kemna mna ga mtr trs bgt diskon ajar bolee lahh diskonin lg hehe gocar kalo ak main lumayan aga pricy,2
kembali menu pilih dekat star racun makan,0
mud ramah kendara bersih,2
good job,2
ganggu banget nih nongol,0
go food emang oke banget,2
praktis,2
top,2
error gimna gk ngirim chat drivernya aplikasi udh versi baru,0
lbh cepat cari kendara titik jemput murah harga guna aplikasi lbh mudah aplikasi si kuning,2
ok,2
jelek,0
nice,2
repot kali,0
hp mi note install selalulu gagal nya install hp nya hard reset ga,2
sukaaa bngttt kurir nyaaa baikkk gaa diemm ann jdi adaa topik suka sma prilaku bukn orang ny,2
aplikasi tibatiba anehgopay later tibatiba blokir bayar waktubingung keluh mana chat cs bisatolong baik layan,0
aplikasi mantep jiwa,0
ok mantaf,2
ramah nunggu,2
mantap,2
klo suruh update anak smp suruh upload ktp ngajarin ngutang please dibenerin aplikasi,0
nice apps,2
iklan buka aplikasi gak iklan iklan gojek,0
drivernya ramah sahabat,2
terkadang lokasi yg map,2
anjay,2
aplikasi nya oke,2
,2
stlh update kk ga timbul layar hp jd klo mo order gojeg hrs masuk goggle play store dah pake gojeg aman aja x aplikas gojeg ga timbul kk tolong bantu yaaa,1
pake gopay belanja makasih layan nya,2
chat costumer service langsung,0
msh yg baik,2
komperatif kasih thr banyak nya,0
bagus,2
josssssssss,2
aplikasi nya bagus cepat murah tahan ya kualitas baik terimakasi,2
oke,2
gojekk jajah slot layan buka sejahtera mitra ngejajah,0
manfaat,2
gojek mantap,2
bgus bngt,2
kecewa kali pesan gocar drivernya maksa maksa offlinealasannya potogan aplikasi nyaman,1
gak nyaman,0
senang promo tarik,2
layan bagus yg pakai voucher driver ramah beli gofood ga ganti driver suka hati pesan car ac ga nyalain rokok kendara pesanin anak car udh turun uninstall apk driver didik tahan rekruitmen mitra latih,0
top up nya suka ilang,2
pdhl atur byar setia pake gojek tp knp paylatter blokir tdk mlihat riwayat sblmnya sekalikbjikan yg tolol,0
jossss,2
ok,2
the best,2
ga pakai mantap,2
driver ramah sopan cepat,2
bantu,2
gocarnya driver jemput cepat tera driver menit menit harga mahal voucher beli gojek plus aplikasi bodong driver yg becus,0
ok,2
aplikasi guna hidup orang indonesia,2
user friendly,2
ok bngt,2
jossss masukkk,2
mntep,2
hujan susah dpt driver,2
ngeselin sih blm jam udh teror aja jatem nya tgl tp tgl udh teror kaya aja ditgl nya pagi buta teror woy sabar gua pny kerja slm gua nada bicara nya yg nagih aja sdh gak sopan,0
belanja gomart cepat aman nyaman,2
mantap jek,2
vocer promonya yg suka,2
serba mudah serba cepat,2
update maret catat utk riwayat update yg maret update,0
bantu pergi mes makan promo terima kasih gojek,2
hai gojek baguss,2
cepat,2
hapus goride instan nyusahin tumpang mending khusus shelter nya aja kaya gin kaya grab,0
harga nya beda org ya,0
ok banget,2
sesuai harap terima kasih,2
mantabsss,2
good,2
apk ngebantu banget pergi mana,2
mantap cpt,2
kaerna jelek,0
aplikasi bagus,2
akun voucher salah apa,2
top,2
susah dapet driver dekat dapet tolong baik biar gak pindah aplikasi belah,0
pake gojekthe best,2
bantu banget,2
bagus,2
mudah proses mesan,2
gopaylater pakai pakai pakai uda ga payah,0
hati hati driver gocar suka ongkos mud suka minum alkohol,0
udah thun pke gojek good,2
oke,2
nyaman,2
manfaat,2
paket gopay plus nya aneh dapet promo makan gofood drngan prmesanan k diskon k ongkir nya mahal seksli udh langgan gojrk plus tpi blm bru dipake promo gofood nya sdh setel mahal skali tolong baik langgan paket gojek plus untung promo tp tolong tingkat,0
mantap makan angin bensin kasih air ga tres cuan yg gacor mah gacor tibah dadak nyungsep udh bulan porgam tau sih anak ane,2
goog,2
tolong pegawai gojek disiplin antar makan,2
mantabbb,1
ok,2
sayang layan customer service aplikasi akun gopay blokir alas aktivitas wajar suruh hubung call center nya rinci situ makan pulsa oke maklum pas tlpn cs nya cs nya rinci aja gaada jelas bilang rinci,0
good aplication,2
keren gojek banyakin ya promonya hehe,2
ramah nyaman dlm kendara,2
manfaat,2
bagus tingkat menu yg biar,2
bagussss,2
good,2
bantu saat diperlukanterimakasih gojek,2
bermafaat,2
bantu bnyk promo diskon,2
bantu vanget,2
ga guna,0
bagus cepat,2
gojek lg mahal mahal nya skrngbeda yg laen nya,0
min ain bayar dana ovo biar g ribet g gopay atm lainny,2
ok joss,2
keren,2
baik,2
daftar gojek tp notifikasi masuk email no beda daftar email no hp sdh masuk email lapor email jg notifikasi klu indikasi masuk gojek selesai nya bisaada masuk akun gojek beda no tolong kasih selesai nya email kirim lapor selesai buka aplikasi krn tdk,0
bantu,2
madepppp,2
mantapssss,2
nunggu jam sia alas ga driver kalo dri emang perkara driver seengganya cari driver dlu nunggu makan literally jam nunggu makan trs menit ga dapet driver langsung cancel suruh psan bener ga pake apk super duper kecewa sistem gajelas sialannnn gua udh lapar banget,0
jemput cepat kurir ramah ongkir murah,2
dapet drivernya drivernya otw push rank ml kali drivernya cepetin gw gajadi acara gara gara ee ee,0
puas aplikasi bantu hari,2
mantap,2
mantap,2
anjay,2
mantap,2
oke,2
ok,2
bantu,2
kecewa driver reto sen makan keburu lapar,0
keren,2
beli gomart emas trus nyampe alfamart bayar tas belanja emang biaya emas gomart emas barang ya arti tas belanja kecewa nya jd cuma biaya emas tolong respon krn chat aplikasi cs gopaynya gak,1
good,2
terimakasih tanggap tanggap rating apresiasi,1
mantapsemenjak ojol sy jd gak telat,2
bagus mudah aktivitas promo harga nya jangkau,2
antar cepat,2
per sopan jmpol dah gojeg,2
ngaktipiny ribet banget sms buka kode gmail enak aplikasi grab mudah lancar,0
cepat,2
bug nya,0
ga aja tombol x nya bikin ukur bakteri,0
mntapp,2
bantu gak jemput,2
ok,2
good job,2
temu bug pesan makan tulis catat yg tulis save tulis ayam dada ter save mesan sesuai yg tulis catat,0
baik aplikasi jalan optimal android versi fitur bayar gopay pinjam akses,0
sulit driver gocar buruk,0
aplikasi nya bagus tp kadang driver ngeselin udah mepet jam kerja udah kasih tau titik pas mana tetep muter situ suruh batalin pesan udah tunggu arahin,1
aplikasi guna cepat dl merespon aman pasti,2
ok,2
there is no problem out here,2
bagus kadang order mes,2
kereeennn top bgd gojek bangga gojekers,2
app tomilor sejagad raya,2
jelek layan ya bantu kali delay ya direspon cepat bantu nya lama lamain langgan kaburtolong pusat bantu respon cepat konsumen kecewa,0
maju gojek ku,2
cepat nyaman,2
driver cekat supel sopan enak ajak ngobrol,2
hohek senang udah hrgnya murah gk pake,2
sikap driver kena mohon baik,0
bintang,1
mantappppp,2
ok,2
tolong yg desak pas males rumah tinggal gofood aja,2
gojek gajelas,0
ontime,2
apknya udah bagus banget tolong tambahin fitur bayar dana biar mudah,2
kerensgt membsntu,2
bonus,1
oke,2
chatnya bayar,2
,2
kasih bintang driver gojek mudah nya cancel order dapet driver aja udah nunggu cancel nunggu hadeeh,0
gpp sih bagus aja,2
mantab,2
puasa mahal ya gofod nya,0
puas,2
kecewa gadapet langsung dapet jujur udh coba tetep ga dapet,1
good jobs,2
driver sabar argo jg keluarga sdh jarang order pakai gojek krna argo saya gede,0
the best,2
go jek ok banget,2
pay later bayar aktif blokir,0
bantu,2
ksih promo yajd stiap blnja d gomart,2
ok,2
ok,2
bantu tolong tingkat kualitas layan baik terimakasih,2
servis driver ok,2
mantap bgt,2
moga berita nya ptgojek indonesia bagi thr utk smua yg sdh jaga citra nama ptgojek indonesia gw sujud syukur klu bnr nya berita bagi thr,2
aplikasi jelek gopay pinjam gopay later tagih jelek uninstall aja,0
mudah akses dlm genggam,2
bagus,2
udah beli gojek plus mahal anj,0
,2
aplikasi bagustingkatkan promo harga,2
buruk,0
mantaf,2
bantu jalan tugas terima kasih,2
bantu,2
pesan gocar udah dapet drivernya udah chat jemput sesuai titik gilir ditungguin tibatiba dicancel drivernya nungguinnya jadi kayak gitu gak kali nyebelin sumpah panas banget ah yo kaku,0
murah cepet poko bagus ni apk gojek,2
mantaaapppp,2
pake yg expres klo foodnya telat aja,1
lumayan layan cepat,2
mantap,2
mudah praktis andal,2
cs gopay pinjam senonoh hari bayar gopay pinjam ancam sebar data ktp mohon gojek tindak lanjut,0
gojek bagus bikin langgan voucher fungsi apakarena langgan pakai voucher bulan ubah potong perjalanansama potong jalan sajaakhirnya cut dechmohon jelas,2
banget ya verif wajah masukin sandi abis verif wajah loading nya ga selesai sampe ga login aneh emg gojek skrg uang ku sana wkwk lawak mending grab aja grab enak wle,0
pasilitas nya yg ok,2
puas,2
tumpang cancel driver yg fitnah batal trip,0
aplikasi gojek mudah dlm jalan pasti jangkau,2
driver gada untung a hbis operasional,0
bantu,2
oke bantu layan transportasi kirim barang order makan,2
jatuh tempo udah teleponin debcolektor ngga lagiagi daj pinjem gopay,0
ok,2
good,2
kecewa tahun langgan setia gojek kecewa pesan makan sahur jam imsak jam driver batal ngak bayar kasihan driver nya nya batal sekian tunggu,0
oke banget,2
suka duka laaah tp tetep ok,2
aplikasi bantu beraktifitas makasih gojek,2
limit gopaylater kunjung gunakanpadahal tagih,0
aplikasi yg bagus recommended banget pokok,2
ya uda pakai gojek trs skr ngebug gimana login akun log out uda coba sampe kali suruh nunggu bgt jam plis gojek gimana kendala tau uda pake gojek dr aman aman aja login nya login uda hasil akun nya tlg ya butuh bgt sm gojek hari,2
c,2
makasih gosend customer aman,2
bagus nyaman,2
kecewa kala hujan gerimis aja ngak go carnya kecewa,0
orang ga mencet ngorder ngorder parah lu jek paksa,0
,2
kaga driver kaga solusi kalo ujan thank u,0
good,2
manfaat bantu tp error y,2
promonya keren sukses go jek,2
ramah,2
the best,2
aplikasi hari bagus transportasi kirim responsif tanggap kendala terimakasih,2
gk sesuai jam antar udaj jam nunggu gk dateng dateng,0
ngebantu banget kalo pergi,2
mantap,2
transaksi batal uang nda kembali mohon cepat,0
mantap asoy geboy,2
pake sen makan banget promo gede udah gaada promo pake bank bener kecewa sih,0
gabisa masuk kode otp ga muncul udah wasms aja kecewa wak,0
,2
percaya,2
aplikasi yg bantu jalan,2
aplikasi online buruk professional operasional yg kenal not recommended at all,0
udh kali sen gofood susah dapet drivernya banget buset nungguin jam yg bener aja woiii udah kali aja mending sen makan pake aplikasi,0
enaaak,2
good job,2
mudah jalan mana aja mana,2
bantu aktifas darurat,2
ok ajaa,2
bagusss bangettt,2
iklan ganggu wallpaper,0
kasih paylater gopaypinjam,1
gojek aneh iya si promo nya bnyk bnyi oknum driver yg uang duit untk bensin uang nya trs driver yg bintang bgustpi layan nya,0
bantu banget yg mager beli makan,2
pesan mudah belanja rumah,2
bantu dgn gojek moga amanah,2
,2
aneh banget gua gabisa bayar pake gopay aktivitas wajar gapernah ngapa in hangus gua isi gopay ribu gua ga gabisa dipake butuh bgt bayar gimana si bolak chat cs langsung tutup chatnya kayak males bgt tuh nanggepin lapor error suruh nunggu banget buset butuh bayar mohon baik cepat hr,0
senang pakai aplikasi,2
kecewa banget pakek gocar pulang sekolah jarak driver titik jemput driver suruh cancel driver jemput ga menit jadi ga hari driver suruh cancel ga orang orang hari tolong baik buang banget,0
bantu banget mo buru pulang karna hujan dr angkot gojek siaga good,2
iki akun goceng pengantarane adoh adoh ki maksud e pieee jek meh bati okeh po su koe,0
ok bantu,2
yuhuu bantu,2
mes gofood jam brapa kali ganti driver emang driver gk ambil pesan bayar ongkir rb jarak beli karna demam pdahal hujan cuaca cerah,0
diskon,2
cepat mesan kirim,2
terimakasih,2
beli gojek plus eh voucher diskon hilang,0
pas oke keren sip pokok,2
bagus,2
keren,2
telat jam dri estimasi bget lelet dpt driver banget,0
driver ojolnya manja datengnya udah nunggu dibatalin gitu aja harga mahal beda belah,0
,2
antar cepat ramah,2
tingkat terus baik bangsa,2
cocok banget nih aplikasi belah,2
good,2
good,2
thebest,2
bantu,2
kecewa,0
gojek makan aja enak bnyk promonya,2
,2
bagusss,2
mahal bner jir ongkir nya biaya tangan harga ribu ribu pakai diskon gak masuk akal tarif go food nya,0
neng bnyak diskon vouchernya,2
the best as always,2
mudah n cepat,2
kartu sim hilang laludan tanggal maret kirim laporansaya ganti kartu masuk akun gopai sayasaya jujur cuman transaksi isi saldo gopai data gak sesuairesponya ngecewakan,0
bagus,2
mahal banget ya tarif kalah grab,0
mantap,2
mantap,2
ok,2
pake gojek aman percaya,2
mudah pengguannanya untung customernya,2
udh komplein nan aplikasi inibgitu pesan bgitu gopinjam dna bgitu gosend nya berani smpe ancam aplikasi gopinjam nya sungguh miris,0
aplikator kaga peduli costumernya yg rugi drivernya yg maling duit costumer driver selesai order antar sampah,0
good,2
skrg loginnya ribet bgt kudu verifikasi muka smpe gopay nya jg ga login coba kya dlu aja gausah pake verifikasi muka,0
aplikasi tolol topup aja verifikasi mulu udah aktifin bca oneklik nyusahin gua aja,0
ok,2
mahal helm pakai customer buluk bau rusak,0
mantap,2
gojek gak bener sya salah salahin pdhl salah abang ny udh lelet males tuh abang gojek gilir batalin gak trma sya datengin abs tu marah marahin lagigiliran kasih uang aja langsung kabur diagojek oon,0
syukur indonesia gojek the best,2
mudah,2
aplikasi yg jasa terimakasih,2
moga depan bagus maju sistem aplikasi,2
oke banget,2
good,2
oke banget siy,2
bantu,1
mantab,2
thx gojek driver moga bagus layan ramah bp driver sehat lancar rizki tuk,2
bagus,2
josss,2
apk boker iklan muncul mulu mana,0
driver oke banget gass pool broo,2
good,2
mantap,2
susah up gojek pluspadahal ktp selpi udah semuah,0
gocar jarak harga jangkau pakai kupon driver terima butuh antar istri anak lindung hujan lebat kasihan bonceng motor x pesan driver gocar tolak,0
gojek g ny gacorr,2
top,2
good,2
bpknya ramah,2
moga promo,2
harap drivernya baca catat kemudi mudah cari lokasi,1
nice,2
membantuu mager,2
bagus tilong banyakin diskon,2
safe and comfortable always maintain gojek,2
moga diskon tarik biar langgan,2
update gk kudu update lot apknya,0
aplikasi anak bangsa,2
mantap,2
mantul,2
baik,2
trus inovasi,2
bagustetapijangan dikit nonaktif akun tumpang,2
was wes wus alhamdulillah nyampek,2
gass download,2
buruk dapet driver tau posisi mulu nunggunya,0
tingkat,2
pusing aja sih,0
layan gopay pinjam gopaylater telat hari aja dc nya ganggu banget bahasa serampang tenaga kerja latih,0
oke banget,2
deket mahal bayar temen jarak lumayan tpi murah,1
senang,2
enak pake gojek cepat hemat,2
mahal driver jg kena potong aplikasi,0
tunggu promonya,2
keren,2
mantap,2
good job,2
aplikasi keren,2
nyari driver susah sampe telat sekolah,0
ok layan,2
dear gojek tolong kasih promo goride hemat pulang jam gopayku kalo ga gpp,1
antar tuju,2
senang pakai aplikasi gojek,2
sangatt nyaman simpel rumah pake gojek gausah ribet pake rumah,2
perbaikin maps nya panggil mobil maps kluar nya motor panggil motor maps keluarny mobil,1
thx gojk,2
gk pencet voucher,0
ok,2
minn ya gabisa masuk akun gabisa face recognition udah cerah cerah nyaa,2
kesini aneh perihal pinjam g telat bayar eh pinjem nya tolak nomor juta wkkkkkk,0
lengkap,2
mantaps,2
udah sekian kali nya dpt driver nyebelin g sopan laku tolong gojek selektif pilih driver nya bener kecewa layan,0
aplikaso tolol pesem gofood jam paket hemat matiin tolol bikin aja ngapain sen food leguler expres banget gojek sudi make aplikasi gojek,0
tipu voucher diskon gilir top up eh ilang vouchernya,0
mantab mudah bantu,2
tolong driver yg terima order ngantar kurang aja rating,0
order gocar kota pati jawa,1
ga upgred gopay pluskarna id daftar,0
mahal,2
mudah bantu,2
,2
klo jgn instal aplikasi admin aplikasi aja karyawan gijeknya nakal sen makan dr jam padahl deket alas dpt trip trus alas lgi mogok motor mentang sdh bayar pakai gopay alas driver nya tolong seleksi lgi drivernya boss krn kostumer kecewa,0
pake ktp tranfer aja susah oke kalo tf pake ktp tp qris gausa napa pake ktp udahlah kalo udah step masukin ktp tinggal ketik pin salah teknis gak susah,0
hebat,2
keren bantu jalan cepat,2
habis updhate gak masuk menu bayar gofod,2
gercep kalo org komplen makasih y,2
nice trip,2
gooodddd,2
mantap biss tambahin promonya,2
baikhanya diskon khusus langgan,2
cepat dapetnya,2
ok,2
skrng top up potong k pdahal dluan kaga,0
cari dompet digital aja serba tolak,0
argo nggak manusia wi driver bb rugi argo go car,0
terimakasih,2
koo tdk pinjam,2
ancur,0
,2
bantu,2
mantap bantu,2
jelek,0
aplikasi gojek bantu,2
good banget,2
koq update aplikasi gojek notifnya suara yah notif aktif,0
mantap,2
bantu,2
pilih hapus permanen daftar rekening tuju opsi mudah guna rapi daftar rekening daftar,0
trus banyakin promo,2
naek gojek aman sih gak macem ramah,2
oke,2
baik,2
gajelas prosesnyahanya cashback sajablm bayarlelet aplikssi inisya udh kali lapor suruh nunggu trs,0
bolehhh,2
ok,2
ok,2
nice,2
mantap drevernya top tp lincah bawa motor,2
daerah aplikasi tunjuk posisi driver ga jalan ga tau driver udh deket tinggal cianjur kota gunung sinyal aman jemput jengkel,1
good,2
mantap,2
banyakin diskon promonya,2
aplikasi oke banget si jujur bantu darurat,2
the best,2
mantap,2
layan gojek lumayan bagus layan gopay later jelek layan gopinjam bikin ribet ga aju layan cs meembantu,0
alhamdulillah gojek gocar bantu,2
,2
ok bangeet,2
butuh utk cari aplikasi butuh klo jarang pakai fiturnya,2
keren,2
dpt driver tuju aplikasi otomatis order driver lokasi jemput yg samalalu riwayat driver adapadahal driver ongkos tambah k harga aplikasisudah screenshot nopolchatnya aplikasi inisaya bayar ongkos tambah yg driver krn buru,1
karna gopay potong gede bgt admin gue susah dapet driver tolong banget bijak yg,0
good good,2
good,2
mantaf,2
ga mikir ga kasi driver nya mesen gocar nya mana driver nya banget orang mah prioritasin yg dekat dlu,0
mntap,2
bagus batu banyakin kupon gratis ongkir nya yaaa,2
puas layan nya,2
top,2
aplikasi mbanking ganti siii,2
bantu,2
bagus,2
ok,2
bagusssss,2
mantap,2
gampang cepat murah,2
mantap,2
bagus,2
ok,2
layan cepat,2
juoss gandos,2
bantu,2
pesan driver ramah terima kasih gojek,2
good,2
senang,2
argo murah mitra kasi mitra mitra yg nyari nafkah anak istri nanggung biaya servis kendara potong aplikasi biaya beban costumer sang mitra terima aplikator kaya bikin kaya mitra tumpang enak mitra derita,0
,2
ok,2
joss mntap,2
good,2
alhamdulillah bagus,2
serba cepat tingkat layan,2
gara ojek malas pake aplikasi,0
baik diskon baik,2
bagus,2
ongkir mahal,0
nice,2
titik suka gak suka ubah sendiriestimasi wktu meleset x lbh pdhal posisi macet,0
murah,2
apasih anjir tf gopay aja ribet bgt jd gopay plus org mah buru hapus akun saldo hrus tp transfer hrus masuk gopay plus ngapainn,0
nggak kembang aplikasi drivernya nunggu jauh driver cancel,2
bagus,2
ok,2
gojek oke,2
aplikasi bobrok,0
ulang kali pakai jasa goride jemput anak sekolah alhamdulillah aman rumah,2
pesan barang instan pas drivernya knp driver bilang barang gabung barang driver dapet rb rupiah antar rumah jakarta timur bayar ongkir rbu kesini ko payah gojek barang instan jam aja udah sampe skrg nunggu sampe sore malem payahhhh,0
jalan lancar,2
aplikasi gojek yg ringan mantap,2
update biaya mahalmasa nya update,0
pesan gojek drivernya ramah,2
apk mantap,2
alamat salah,0
keren,2
good,2
layan,2
beli makan via gofood enak praktis,2
promo nya eror,1
,2
good aplikasi,2
trbantu,2
terima kasih,2
gojek gosend tolong jgn hilang opsi kriim gambar album handphone kaa ganti stiker ganggu banget jelasin drivernya,0
ribet pake gojek gopay ferivikasi wajah,0
orang suka ngasih ulas karna negatif positif diam aja semangat,2
pas butuh gojek slalu,2
ok,2
makasih yaaasangat bantu,2
beli susu anak cepat makasih,2
terimakasih bantu,2
mudah keren,2
cekat amanah,2
mantap banget gojek,2
nyaman,2
drivernya ramahdan wkt jemput jg cpt,2
ok banget,2
driver nabrak kuningan deket pintu tol jl gatot subroto ga jarang driver nabrak orang tolong evaluasi driver nya layak ga dapet sim resah jalan driver fokus maps sampe lupa liat depan kecewa milik bukti foto dll jadi,0
mantap,2
bagus mudah bantu,2
bantu aktivitas darurat,2
cepat hemat,2
mantap,2
good,2
bantu banget,2
mantap aplikasi,2
cepat jemput,2
bagus dapet driver cepet,2
titik gak geser dpn rumah sekrng geser rumah orang trs,1
pesenmakanan nunggunya jam apknya langsung ngebatalin ajakurang ajar,0
manfaat aplikasi gojex,2
taiik lokasi nya lenceng mulu driver susah jemput nya,0
bantu,2
gak ribet smuah jdi cepat,2
love you banget deh gojek gak gagal bikin customer nyaman,2
bagus,2
aplikasi amatir kali masuk sll gagal verifikasi wajah shg sll bantu jd ribet,0
tolong kasi emoticon jenis kelamin nama d aplikasi drivernya biar gk salah mggil bpk argonya aja driver gak kasihan potong upto akhlak atur perintah upto benerin algoritma rute kuning kasihan mitra jek algoritma sesuai traffic cepat orderjgn random sprti d lapang biar tumpang gk terlantartembok trotoar libas makhlus ya,0
kalo driver atas jam malam diacc kasihan resto makan x order,0
promonya makasih gojek,2
keren good service,2
gajadi makan gara order makan,0
baik,2
aplikasi gojek d bua,2
udh lewat kesel udh kalidriver gocar nya nakalmasa ongkos tol pik up sampe ribulebih mahal ongkos harga sewa nyatolong tindak lanjutikarena senang pakai driver online gojektapi driver car nya nakal nge up ongkos yg bayar pakai gopayenak suka suka masukin ongkos tol yg lewat mahal,0
rungkad mulu,0
lambat utk antar gofood dr aplikasi,0
oke,2
manfaat,2
buruk,0
mantap,2
makan nyampe benyek dk bs makan,0
pilih gojek comfortnya gak sih pake loh balikin kek,2
oderannya hrs merataadil semua driverprioritasin yg auto bid akun driver oderannya,2
bgus pakai blum kurang,2
mntap gojek,2
grab better dri sisi,0
,2
bagi driver rata mes cepat mode prioritas kali driver tolak,0
males pakai gojek driver suka ngomong kasar,0
bantu beraktifitas,2
woii bossaya udah muter muter tangerang selatan kota tangerang habis bensin tank pertamax order kasih biji pagi malam,0
komunikasi,2
awesome,2
sii gojek kecewa telat jemput driver sok akrab pliss kasih driver sok rute diarahin telat jemput sok akrab hujan susah main pesan ojolnya,0
cakep,2
putus mitra akun salah nya putus mitra ingat sitem gak trima sakit hati kerja kerja sitem gak adab gampang orang sholim lihat masa gak nyuri gak ber leceh seksual gak aneh aneh tanggal cair nya thr akun putus mitra aneh banya peras kringat mitra mitra,0
tolong peta tuh yg kumpul driver aja kasih yg kasihan drivernya kalo kena cancel kasihan tumpang kalo nunggu dah aja buruk,0
sempurnaa,2
argo korupsi sistem jarak customer bayar rb driver kasih rb kalo rb hehe nabung akhirat deh,0
ok,2
mantep diskon,2
lelet gofood susah driver driver nganggur,1
nice,2
cancel susah nya ampun skrg g cancel sekli lgi order brg salah alamat g cancel lgi ubah almat bikin kesel aja,0
good,2
harga berubahdn mahal driver kasih dri posisi buff maps posisi driver tdk gerak pdhl,0
oke,2
payah potong digopay disejutuin,0
gk dapet klo order go car bngt sekali dapet mlh cancel driver nya,0
jemput cepat driver nya ramahpertahankan tingkat,2
bantu chat cs aplikasi,0
promo,2
mantab,2
kembalilan uang k tawar diskon tipu,0
jeda cancel makanangimana kalo ga cash,0
bayar telat blokir,0
its oke,2
mantap,2
bantu,2
b aja,2
dg gojek mudah,2
sy sulit lapor kemudi yg sopan puas layan,0
aplikasi nya ok butuh jasa makan,2
akun beku beli gojek plus gopay gabisa guna gajelas jek jek,0
oke,2
baru parah hold langgan murah terima kecewa gojek driver kualifikasi,0
good application,2
alam pakai gopay later x krn promonya tagih paylater rb krn lupa jd telat bayar kena denda rb total tahihan rb sungguh kaget kecewa kali kecewa aplikasi kali bener kecewa gojek gaakan pakai aplikasi,0
dobel order rugi konsumen driveraplikasi ambil untung,0
the best,2
noh puas,2
gojek bantu,2
bagus mudah cepat,2
bantu hidup dunia serba digital,2
pas,2
udah pake gojek akhirakhir pake sen makan kalo ga bawa bekel aman aja tibatiba akun blokir hari pake gopay later promonya guna gopaylater penyalahgunaan konsumen promosibagian sebal ga kasih tau rincian langgar laku kasih tau penyalahgunaan mana aktivitas ga wajar ga asumsi pakai promo paylater,0
profesional,2
lumayan nyaman n ramah,1
andal aelagi butuh,2
maaf gojek ko update bagus enteng pas dibukamalah berat terkadang bs bulak tunggu mntbanyak bug nya dlm aplikasi gojek initlng oakai scrip yg bagus aplikasi nya entengbanyak ko script yg simple yg aplikasi entengit nya per latih bekas it nadim ex gojek,2
driver cancel ramah,0
gomart payah stok barang habis,0
mantap,2
well,2
mantap banyakin fitur kayak utk cargo,2
mantap,2
motong rute langsung via toll ngapain pake rute nyusahin ajaharus edit rute toll,0
ok,2
bagus,2
servis yg bagusterus tahan,2
mamtap,2
aplikasi ngak belanja hypermat alfagift ngak pakai gopaylater bayar tagih gopaylater pakai tokopedia gojek shopeepaylaterku pakai semua aplikasi belanja beda banget dahh usah ngak gaji customer service keluh layan langgan yah loe kasih link support jawabanya akun daftar digopaylater gue udah pakai gopaylater,0
muas layan,2
ok,2
senang bangat promo sayang banget emang sengaja gimana nih ya gojek jarak nya gk sesuai bngt jarak google maps m gojek sampe km apalgi jarak nya bngt aplikasi belah yg klu sblh km smpe km ongkir tambah jarak nya yg maap maap nihh yeee dibentulin jarak ny yg sesuai jngn bohong dosa lhoo,2
good,2
terima kasih bantu aqu butuh,2
bantu,2
cepat banget sukakk,2
alam gojek nyaman banget,2
driver baca map map gojek akurat udah jalan yg deket muter jalan nunggu nya untung gojek plus vocer yg kasih kaya vocer nya vocer gofood gabisa pakai resto abis gtu beli gabisa batal,0
alamat simpan gak alamat simpan hapus tetep gak hhemb,0
rekomendasi buruk,0
gampang mes makan,2
andal,2
mudah pesannyacepet drivernya,2
ya dibutuhin paylater kece rutin wooy akutuh pakai setiabyr waktupula dipake gin mulu jadi sebal parah,0
tolong team gojek tingkat gofood nya makananbrg etalase jgn dipost krn pas pesan makan makan yg pes sedia etalase maaf kasi bintang,0
no ribet,2
lanjut,2
ok,2
guna makan hhhhj,2
bantu banget,2
bantu,2
bagusss jarang diskon,2
bantu dgn gojek byk discount nya,2
bantu promo,2
gojek kacau argo gocar diturunin aja k km k km awat mobil murah kali potong gede driver argo dikecilin kacau kacauuui zolim ente mahal maxim indriver dapat bersih driver nya,0
apk mantap,2
oce mantul goes,2
,2
ok,2
puas aplikasi gopay aplikasi gojek castamer kluar sndiri tdk msuk akun eror trus kecewa,0
bagus,2
bantu,2
top,2
mantap,2
puas srkali,2
gojek mantap muas akurat gak ribet,2
tlg algoritma baik order driver kasih customer kecewa respon driver lokasi tau kasih driver jadi minggu,0
aplikasi ramah bagus kreatif keren tolong banget hilang fitur login pake verifikasi muka tolong banget gak login ktpnya muka tinggal bom kalo uang mah ga uang nyangkut akun ribu harga bukti bukti tf akun ribu tolongg bangett bantu banget beneran bagus aplikasi keren deh,2
cepat,2
potong hari gopay kendara saldo bilang alhasil potong hari gagal gimana,0
tarik,2
senang,2
bagus bermamfaat,2
makasih,2
good driver,2
sulit cari driver nya area banyuwangi,0
mantap terima kasih,2
terimaksih,2
mantap hemat,2
bantu harga mahal,2
ok,2
top,2
mud cepet nyampe,2
ah mantap kaleee,2
aplikasi yg bantu,2
pitur gopay pinjam buruk,2
kesini lot parah bayar gagal parah,0
kirim pesan mitra,0
mantap,2
harga makan gak ngotak masak sate ayam biji ribu diskon gak diskon harga naikin trus diskon aja bohong mending cari makan aplikasi aci,2
sell mantap,2
bantu kala darurat,2
nice,2
aplikasi ribet,0
layan baik good,2
gojek keren murah ngga murah,2
coba,0
puas,2
pesan ga sengaja pencet ga cancel uang pas pas ngadu cs ga nemu solusi tolong kek gin bikin ga nyaman,0
layan customer,2
aplikasi ktlga mutu ga kek anj,0
ok,2
mantap,2
keren,2
aplikasi bantu,2
knapa gopay later d blokir padahl bayar tdk telat,0
inovatif,2
mantap,2
good,2
mantap,2
